Номер тега,Количество изображений с тегом,Человекочитаемое лаконичное представление,Субкатегория,Имя тэга на danbooru,Описание тега с danbooru,"Категория, присвоенная danbooru",Комментарии
1,6796046,,,1girl,An image containing one female character.,General,
2,3841230,,,looking_at_viewer,When a character is making direct eye contact with the viewer. (i.e. simply looking at the camera/through the fourth wall),General,
3,3321705,,,blush,A rosy color in the cheeks.,General,
4,5675581,,,solo,An image containing a single person. No one else should be visible in the image.,General,
5,3934227,,,breasts,An image where the breasts are noticeable.,General,
6,3305224,,,smile,"An expression showing pleasure, amusement, or [[happy|happiness]], usually with the corners of the mouth turned up, like this: 🙂.",General,
7,2553764,,,short_hair,"Hair reaching the neck, but not reaching the shoulders.",General,
8,2734688,,,open_mouth,The mouth being open. Only use when sufficiently open to (theoretically) see inside.,General,
9,2188597,,,shirt,A piece of clothing worn on the upper half of a body.,General,
10,1999928,,,blue_eyes,A character with blue colored eyes.,General,
11,2146729,,,simple_background,An image with an empty or featureless background.,General,
12,4968474,,,long_hair,"Hair longer than the shoulders, up to reaching the waist. Shoulder length hair should be tagged with [[medium hair]] instead.",General,
13,1835357,,,long_sleeves,Sleeves that cover the arms to at least the wrists.,General,
14,1800564,,,large_breasts,[[Breasts]] that are larger than [[medium breasts]] but smaller than [[huge breasts]].,General,
15,1781731,,,white_background,Backgrounds that are completely or predominantly [[white]] in color. Can also apply to [[gradient background]] in conjunction with another background color.,General,
16,1761613,,,blonde_hair,"Hair that is colored blonde, or yellow.",General,
17,1759144,,,skirt,A skirt is a tube- or cone-shaped garment which hangs from the waist and covers all or part of the legs.,General,
18,1712143,,,brown_hair,Hair that is colored brown.,General,
19,1725402,,,multiple_girls,An image depicting two or more female characters.,General,
20,1739255,,,black_hair,Hair that is colored black.,General,
21,1655274,,,holding,Someone is holding an object.,General,
22,1649484,,,1boy,An image depicting one male character.,General,
23,1552841,,,gloves,"A covering for the hands, or for the hand and wrist, with a separate sheath or opening for each finger.  Should have at least a separate opening or sheath for at least one finger, excluding the thumb.",General,
24,1513346,,,dress,A one-piece garment worn on the torso and that hangs down over the legs. It consists of a bodice (the top part) attached to a skirt (the bottom).,General,
25,1626028,,,hair_ornament,An accessory worn in the hair for decoration or ornamentation purposes.,General,
26,1444294,,,red_eyes,A character with red colored eyes.,General,
27,1431732,,,closed_mouth,"The opposite of [[open mouth]], where the character is keeping their lips together and not showing any interior portion of the mouth.",General,
28,1365620,,,hat,"A garment worn on the head characterized by a brim. However, posts with this tag refer to headwear in general and is not restricted to those with brim or those without.",General,
29,1364133,,,hair_between_eyes,"A hair bunch from the bangs that falls over the middle of the forehead, long enough to reach at least between the eyes of the person.",General,
30,1346372,,,bow,"A bow is a type of knot generally featuring two loops and two loose ends.  Bows will be seen on clothing (many [[serafuku]] have them), in hair, on [[panties]] and other [[lingerie]], on shoes (shoelaces are usually tied in a bow), and pretty much any place that there is something that might be tied.",General,
31,1354885,,,animal_ears,"A character with animal ears, real or [[fake animal ears|fake]]. Also known as [i]kemonomimi[/i]. Do not use this tag for pictures of actual [[animal]]s.",General,
32,1292022,,,thighhighs,"Stockings or [[socks]] that cover the legs from foot to thigh. They are held up by elastic thighbands, or sometimes a [[garter belt]].",General,
33,1306596,,,navel,"The belly button is showing, usually goes with either [[nude]], [[stomach]] or [[midriff]]. Contrast with [[covered navel]].",General,
34,1248894,,,jewelry,"Any decorative adornments worn on a person made from various metals, [[gem|gemstones]], shells and beads. Its purpose is to enhance the wearer's appearance, although there are practical-usage pieces such as medic-alert bracelets and military dog tags.",General,
35,1215718,,,ribbon,"A ribbon is a thin band of flexible material, typically cloth but also plastic or sometimes metal, used primarily for binding and tying.  Often seen used in elaborate clothing and hair, and generally longer than it is wide.",General,
36,1158876,,,2girls,An image containing two female characters. Male characters may also be present in addition to the female characters.,General,
37,1135731,,,cleavage,The depression or valley created between a woman's [[breasts]] via partial exposure of the chest.,General,
38,1125874,,,jacket,"A garment that is sleeved and hip- or waist-length. Jackets are made from thin material, therefore they are lighter. While some are for fashion, they can also serve as protective clothing when thicker material is used.",General,
39,1070071,,,sitting,"The butt resting on a surface (often a [[chair]], [[couch]], or [[bench]]), possibly in addition to the legs or feet. For a position with the knees on the floor, use [[kneeling]] (except with seiza below).",General,
40,1106619,,,bare_shoulders,"When shoulders are exposed, as part of clothing design, pulling/falling down, or other. Bare shoulders are especially prominent in clothes that are [[sleeveless]], [[strapless]], or have low and wide-cut necklines (ie. [[off-shoulder shirt]]).",General,
41,1110593,,,very_long_hair,"Hair longer than the waist, ranging to as far down as the feet.",General,
42,1050009,,,standing,"One or more characters are standing. Their bodies are being supported by both of their feet, or by either foot.",General,
43,1037065,,,white_shirt,Any style of [[shirt]] that's colored [[white]].,General,
44,1016139,,,twintails,A hair style where the hair is tied into sections forming two ponytails. The Japanese term for this type of hair style is ツインテール (twin tail).,General,
45,991242,,,medium_breasts,[[Breasts]] that are larger than [[small breasts]] and smaller than [[large breasts]].,General,
46,980556,,,blue_hair,Hair that is colored blue.,General,
47,974390,,,full_body,An image focused on a character's full body. The character's entire body is visible and takes up most of the frame.,General,
48,965553,,,green_eyes,A character with green colored eyes.,General,
49,929700,,,nipples,The small projection of the mammary gland on the [[breasts]] (and male pectorals).,General,
50,933779,,,purple_eyes,A character with purple colored eyes.,General,
51,927259,,,brown_eyes,A character with brown colored eyes.,General,
52,883707,,,school_uniform,"A uniform commonly worn by students of various grades depending on the country; in Japan, they're mostly worn by middle school and high school students. The two most common designs are the [[serafuku]] and [[blazer]].",General,
53,913118,,,tail,A long appendage protruding from the lower back. Often covered in fur or scales. A common feature of animal girls.,General,
54,911768,,,upper_body,"An image of the upper body of the character, approximately from the navel up. This may or may not include the head.",General,
55,899007,,,collarbone,Describes images depicting characters with fully or partially exposed collarbones (clavicles).,General,
56,869115,,,underwear,"Clothes worn under clothes, most often directly on top of the skin. This includes [[bra]]s, [[panties]], [[lingerie]], and [[male underwear]].",General,
57,857214,,,male_focus,"An image featuring only male characters, or with an overwhelming emphasis on male characters.",General,
58,846868,,,multicolored_hair,"Hair that has more than one color. All hair colors present should be tagged, if possible.",General,
59,820039,,,white_hair,Hair that is colored white.,General,
60,822370,,,closed_eyes,"When a character has both eyes closed. If one eye is open, use [[one eye closed]].",General,
61,804581,,,grey_hair,Hair that is colored grey.,General,
62,811554,,,pink_hair,"Hair that is colored pink, an intermediate color between red and white.",General,
63,806421,,,yellow_eyes,A character with yellow colored eyes.,General,
64,789238,,,ponytail,"A hairstyle in which the hair is tied at the back of the head with a [[hair tie]], [[scrunchie]], or similar device, and allowed to hang freely from that point.",General,
65,752823,,,ahoge,"アホ毛, literally, stupid hair. A single (usually short and fat) lock of hair that sticks out of a character's head.",General,
66,748790,,,swimsuit,"A garment worn for [[swimming]], [[bathing]], and [[beach]] activities.",General,
67,720638,,,short_sleeves,Sleeves that don't reach beyond the elbows or cover the forearms.,General,
68,722003,,,sidelocks,Long locks of hair growing directly in front of the ears.,General,
69,738941,,,purple_hair,Hair that is colored purple.,General,
70,722949,,,braid,For characters with a braid or braids in their hair.  A braid is an interweaving of three or more locks of hair together.,General,
71,711939,,,flower,The blossom of a [[tree]] or [[plant]]; the colorful part of a plant that produces seeds or fruits.,General,
72,706010,,,panties,Female [[underwear]] that covers the crotch.,General,
